Located in;Is Required?;Dutch term;English term;Source;Is standard?;Resources;Resources Note
Observation;Yes;Observatie type;ObservationType;OMS;Yes;;
Observation/UoM or TimeseriesResult/UoM;Yes;Eenheid;Unit;AQUO;Yes;https://www.aquo.nl/index.php/Id-04f4f467-021b-4218-baa8-9742ed977c61;
ParameterContainer;Yes;Compartiment;Compartment;AquaDesk;No;;
ParameterContainer;Yes;Grootheid;Quantity;AquaDesk;No;;
ParameterContainer;;Actuator;Actuator;AquaDesk;Yes;;
ParameterContainer;;Analist;Analyst;AQUO;Yes;https://www.aquo.nl/index.php/Id-6134f3bb-6048-431d-a130-01290d84172c;
ParameterContainer;;Analysepakket;AnalysisPackage;AQUO;Yes;https://www.aquo.nl/index.php/Id-0eafa483-2875-4c94-890d-66258a6b4d88;Aquo: Only group 'Grootheid'
ParameterContainer;;BreedteklasseInCm;WidthClassInCm;SensorThings;Nee;;
ParameterContainer;;BreedteklasseInMm;WidthClassInMm;AquaDesk;No;;
ParameterContainer;;Conditie;Condition;AquaDesk;No;;
ParameterContainer;;Controleur;Checker;AquaDesk;No;;
ParameterContainer;;Ecotope;Ecotope;AquaDesk;No;;
ParameterContainer;;Gedrag;Behavior;AquaDesk;No;;
ParameterContainer;;Geslacht;Gender;AquaDesk;No;;
ParameterContainer;;Golflengte;Wavelength;AQUO;Yes;https://live.aquadesk.nl/ecotopes;
ParameterContainer;;Habitat;Habitat;AQUO;Yes;https://www.aquo.nl/index.php/Id-0b6c3b35-155f-4519-aec4-bcbcbdba4169;Aquo: Only group 'Gedrag'
ParameterContainer;;Hoedanigheid;Quality;AQUO;Yes;https://www.aquo.nl/index.php/Id-0b6c3b35-155f-4519-aec4-bcbcbdba4169;Aquo: Only group 'Geslacht'
ParameterContainer;;Individuen;Individuals;AQUO;Yes;https://www.aquo.nl/index.php/Id-7169dd0a-813b-4cf1-86ab-9bbc52b113a4;Aquo: Only group 'Golflengte'
ParameterContainer;;KorrelDiameter;GrainDiameter;AquaDesk;No;;
ParameterContainer;;Korrelgroottefractie;GrainSizeFraction;AQUO;Yes;https://www.aquo.nl/index.php/Id-0b6c3b35-155f-4519-aec4-bcbcbdba4169;Aquo: Only group 'Hoedanigheid'
ParameterContainer;;KRWWatertype;KRWWatertype;AquaDesk;No; ; 
ParameterContainer;;Kwaliteitsoordeel;QualityAssessment;AQUO;Yes;https://www.aquo.nl/index.php/Id-0b6c3b35-155f-4519-aec4-bcbcbdba4169;Aquo: Only group KorrelDiameter'
ParameterContainer;;Lengteklasse;LengthClass;AQUO;Yes;https://www.aquo.nl/index.php/Id-0b6c3b35-155f-4519-aec4-bcbcbdba4169;Aquo: Only group 'Korrelgroottefractie'
ParameterContainer;;LengteklasseInCm;LengthClassInCm;AQUO;Yes;https://www.aquo.nl/index.php/Id-a02053a8-9132-40e4-bb71-7b271f1dabc9;
ParameterContainer;;LengteklasseinMm;LengthClassInMm;AQUO;Yes;https://www.aquo.nl/index.php/Id-1e17d9e6-4e0e-4f88-8fe5-c71f6a7931db;
ParameterContainer;;Levensstatium;LifeStage;AQUO;Yes;https://www.aquo.nl/index.php/Id-0b6c3b35-155f-4519-aec4-bcbcbdba4169;Aquo: Only group 'Lengteklasse'
ParameterContainer;;Levensvorm;LifeForm;AquaDesk;No;;
ParameterContainer;;Limietsymbool;LimitSymbol;AquaDesk;No;;
ParameterContainer;;Meetnet;MonitoringNetwork;AQUO;Yes;https://www.aquo.nl/index.php/Id-0b6c3b35-155f-4519-aec4-bcbcbdba4169;Aquo: Only group 'Levensstadium'
