Entity,EntityRequired,Property,Type,PropertyRequired
DigitaleDelta.Observation,True,Id,Edm.String,True
DigitaleDelta.Observation,True,Type,Edm.String,True
DigitaleDelta.Observation,True,ResultTime,Edm.DateTimeOffset,True
DigitaleDelta.Observation,True,PhenomenonTime,Edm.DateTimeOffset,True
DigitaleDelta.Observation,True,ValidTime,DigitaleDelta.TmPeriod,False
DigitaleDelta.Observation,True,ResultQuality,Collection(DigitaleDelta.DqElement),False
DigitaleDelta.Observation,True,Parameter,DigitaleDelta.ParameterContainer,True
DigitaleDelta.Observation,True,Metadata,DigitaleDelta.MetadataContainer,False
DigitaleDelta.Observation,True,RelatedObservations,Collection(DigitaleDelta.RelatedObservation),False
DigitaleDelta.Observation,True,Foi,DigitaleDelta.Foi,True
DigitaleDelta.Observation,True,Result,DigitaleDelta.Result,True
DigitaleDelta.Observation,True,RelatedObservations,Collection(DigitaleDelta.RelatedObservation),False
DigitaleDelta.Observation,True,Foi,DigitaleDelta.Foi,True
DigitaleDelta.Observation,True,Result,DigitaleDelta.Result,True
DigitaleDelta.TmPeriod,False,BeginPosition,Edm.DateTimeOffset,False
DigitaleDelta.TmPeriod,False,EndPosition,Edm.DateTimeOffset,False
DigitaleDelta.ParameterContainer,True,Parameter,Edm.String,True
DigitaleDelta.ParameterContainer,True,Compartment,Edm.String,False
DigitaleDelta.ParameterContainer,True,AnalysisPackage,Edm.String,False
DigitaleDelta.ParameterContainer,True,Quantity,Edm.String,False
DigitaleDelta.ParameterContainer,True,Project,Edm.String,False
DigitaleDelta.ParameterContainer,True,Note,Edm.String,False
DigitaleDelta.ParameterContainer,True,Organisation,Edm.String,False
DigitaleDelta.ParameterContainer,True,MeasurementPackage,Edm.String,False
DigitaleDelta.ParameterContainer,True,Sampler,Edm.String,False
DigitaleDelta.ParameterContainer,True,Analyst,Edm.String,False
DigitaleDelta.ParameterContainer,True,Checker,Edm.String,False
DigitaleDelta.ParameterContainer,True,Supplier,Edm.String,False
DigitaleDelta.ParameterContainer,True,LimitSymbol,Edm.String,False
DigitaleDelta.ParameterContainer,True,Purpose,Edm.String,False
DigitaleDelta.ParameterContainer,True,Ecotope,Edm.String,False
DigitaleDelta.ParameterContainer,True,ParameterType,Edm.String,False
DigitaleDelta.ParameterContainer,True,Observed,Edm.String,False
DigitaleDelta.ParameterContainer,True,LifeForm,Edm.String,False
DigitaleDelta.ParameterContainer,True,LifeStage,Edm.String,False
DigitaleDelta.ParameterContainer,True,Gender,Edm.String,False
DigitaleDelta.ParameterContainer,True,Capacity,Edm.String,False
DigitaleDelta.ParameterContainer,True,LengthClass,Edm.String,False
DigitaleDelta.ParameterContainer,True,Statistics,Edm.String,False
DigitaleDelta.ParameterContainer,True,Sediment,Edm.String,False
DigitaleDelta.ParameterContainer,True,Wavelength,Edm.String,False
DigitaleDelta.ParameterContainer,True,Appearance,Edm.String,False
DigitaleDelta.ParameterContainer,True,Individuals,Edm.String,False
DigitaleDelta.ParameterContainer,True,GrainSizeFraction,Edm.String,False
DigitaleDelta.ParameterContainer,True,GrainDiameter,Edm.String,False
DigitaleDelta.ParameterContainer,True,Condition,Edm.String,False
DigitaleDelta.ParameterContainer,True,QualityAssessment,Edm.String,False
DigitaleDelta.ParameterContainer,True,LengthClassInCm,Edm.String,False
DigitaleDelta.ParameterContainer,True,LengthClassInMm,Edm.String,False
DigitaleDelta.ParameterContainer,True,WidthClassInCm,Edm.String,False
DigitaleDelta.ParameterContainer,True,WidthClassInMm,Edm.String,False
DigitaleDelta.ParameterContainer,True,ValuationTechnique,Edm.String,False
DigitaleDelta.ParameterContainer,True,Habitat,Edm.String,False
DigitaleDelta.ParameterContainer,True,MeasurementPosition,Edm.String,False
DigitaleDelta.ParameterContainer,True,ValuationMethod,Edm.String,False
DigitaleDelta.ParameterContainer,True,ValueProcessingMethod,Edm.String,False
DigitaleDelta.ParameterContainer,True,TaxonType,Edm.String,False
DigitaleDelta.ParameterContainer,True,TaxonGroup,Edm.String,False
DigitaleDelta.ParameterContainer,True,TaxonParent,Edm.String,False
DigitaleDelta.ParameterContainer,True,TaxonNameNl,Edm.String,False
DigitaleDelta.MetadataContainer,False,CollectionReference,Edm.String,False
DigitaleDelta.MetadataContainer,False,MeasurementSetNumber,Edm.String,False
DigitaleDelta.MetadataContainer,False,SampleComment,Edm.String,False
DigitaleDelta.MetadataContainer,False,MeasurementComment,Edm.String,False
DigitaleDelta.RelatedObservation,False,Role,Edm.String,False
DigitaleDelta.RelatedObservation,False,RelatedObservations,Collection(DigitaleDelta.RelatedObservation),False
DigitaleDelta.RelatedObservation,False,Foi,DigitaleDelta.Foi,True
DigitaleDelta.RelatedObservation,False,Result,DigitaleDelta.Result,True
DigitaleDelta.Foi,True,Id,Edm.String,True
DigitaleDelta.Foi,True,Code,Edm.String,True
DigitaleDelta.Foi,True,Description,Edm.String,True
DigitaleDelta.Foi,True,Geography,Edm.GeographyPoint,True
DigitaleDelta.Foi,True,KrwWaterType,Edm.String,False
DigitaleDelta.Foi,True,StowaWaterType,Edm.String,False
DigitaleDelta.Foi,True,MonitoringNetworks,Collection(Edm.String),False
DigitaleDelta.Result,True,Id,Edm.String,True
DigitaleDelta.Result,True,Truth,Edm.Boolean,False
DigitaleDelta.Result,True,Count,Edm.Int64,False
DigitaleDelta.Result,True,Measure,DigitaleDelta.Measure,False
DigitaleDelta.Result,True,Vocab,DigitaleDelta.CategoryVerb,False
DigitaleDelta.Result,True,Geography,Edm.GeographyPoint,False
DigitaleDelta.Result,True,Timeseries,DigitaleDelta.TimeseriesResult,False
DigitaleDelta.Result,True,Timeseries,DigitaleDelta.TimeseriesResult,False
DigitaleDelta.Measure,False,Uom,Edm.String,True
DigitaleDelta.Measure,False,Value,Edm.Decimal,True
DigitaleDelta.CategoryVerb,False,Vocabulary,Edm.String,True
