Name,Type,Description,PropertyPlacement,Nullable,Added,Nl,System
SetComment,Edm.String,Opmerking bij een meetset,Metadata,false,2024-03-15T12:00:00Z,Meetset opmerking,AquaDesk
ObservationComment,Edm.String,Opmerking bij een observatie,Metadata,false,2024-03-15T12:00:00Z,Observatie opmerking,AquaDesk
CollectionComment,Edm.String,Opmerking bij een collectie (monster),Metadata,false,2024-03-15T12:00:00Z,Collectie opmerking,AquaDesk
ModifiedOn,Edm.DateTimeOffset,Datum creatie/wijziging,Metadata,false,2024-03-15T12:00:00Z,Wijzigingsdatum,AquaDesk
Projects,string[],Projecten voor welke deze observatie is uitgevoerd,Metadata,false,2024-03-15T12:00:00Z,Projecten,All
EcotopeSystem,Edm.String,Ecotope system,Parameter,false,2024-03-15T12:00:00Z,Ecotoop classificatie systeem,Aquo
WaterSystem,Edm.String,KRW Watertype,Parameter,false,2024-03-15T12:00:00Z,KRW watersysteem,KRW
TaxonAuthors,Edm.String,Taxon authors,Parameter,false,2024-03-15T12:00:00Z,Taxon auteurs,TWN
OrganisationNamespace,Edm.String,Aquo organisation namespace,Parameter,false,2024-03-15T12:00:00Z,Aquo namespace voor de organisatie,Aquo
MonitoringNetworks,Edm.String,Monitoring networks,Parameter,false,2024-03-15T12:00:00Z,Meetnetten,AquaDesk
CasNumber,Edm.String,CAS Registry Number,Parameter,false,2024-03-15T12:00:00Z,CAS nummer bij chemie,AquaDesk
TaxonRank,Edm.String,Taxon rank,Parameter,false,2024-03-15T12:00:00Z,Taxonniveau volgens TWN,TWN
Files,Edm.String,Associated files,Reference,false,2024-03-15T12:00:00Z,Gerelateerde bestanden,All
Weighting,Edm.String,Relative weight of the measurement object,Reference,false,2024-03-15T12:00:00Z,Relatief gewicht van het meetobject,AquaDesk
Start,Edm.DateTimeOffset,Start date of project,Reference,false,2024-03-15T12:00:00Z,Startdatum project,All
End,Edm.DateTimeOffset,Endt date of project,Reference,false,2024-03-15T12:00:00Z,Einddatum project,All
TwnStatus,Edm.String,Taxon status according to TWN,Parameter,false,2024-03-15T12:00:00Z,TWN taxon status,TWN
MaxValue,Edm.String,Maximum value of unit,Reference,false,2024-03-15T12:00:00Z,Maximale waarde van eenheid,All
MinValue,Edm.String,Minimum value of unit,Reference,false,2024-03-15T12:00:00Z,Minimale waarde van eenheid,All
Citation,Edm.String,Taxon literature reference,Metadata,false,2024-03-15T12:00:00Z,Taxon literatuur referentie,TWN
Symbol,Edm.String,Unit symbol,Parameter,false,2024-03-15T12:00:00Z,Symbool van de eenheid,Aquo
KrwCode,Edm.String,KRW classification,Parameter,false,2024-03-15T12:00:00Z,KRE classificatie,Aquo
TaxonType,Edm.String,Taxon type,Parameter,false,2024-03-15T12:00:00Z,Taxontype,TWN
TwnCode,Edm.String,Taxon TWN code,Parameter,false,2024-03-15T12:00:00Z,Taxon TWN code,TWN
TaxonNameNl,Edm.String,Taxon name in Dutch,Parameter,false,2024-03-15T12:00:00Z,Nederlandse taxon naam,TWN
TaxonGroup,Edm.String,Group of the taxon,Parameter,false,2024-03-15T12:00:00Z,Taxongroep,TWN
MeasurementObjects,Edm.String,Measurement objects withing the monitoring network,Reference,false,2024-03-15T12:00:00Z,Meetobjecten binnen een meetnet,All
Literature,Edm.String,Taxon literature,Reference,false,2024-03-15T12:00:00Z,Taxon literatuur,TWN
ParameterType,Edm.String,Parameter type,Parameter,false,2024-03-15T12:00:00Z,"Soort parameter (CHEMS, TAXON, BIOTG, FYSIO)",AquaDesk
AreaType,Edm.String,Area type,Reference,false,2024-03-15T12:00:00Z,Gebiedssoort,Sovon
IsReportingMeasurementObject,Edm.String,Is reporting point to another measurement object,Reference,false,2024-03-15T12:00:00Z,Is rapportagepunt,AquaDesk
LengthClass,Edm.String,Length class,Parameter,false,2024-03-15T12:00:00Z,Lengteklasse,Aquo
Organisation,Edm.String,Organisation code,Parameter,false,2024-03-15T12:00:00Z,Organisatie code,Aquo
MeasurementPackage,Edm.String,Measurement package,Parameter,false,2024-03-15T12:00:00Z,Meetpakket,AquaDesk
GrainSizeFraction,Edm.String,Grain size fraction,Parameter,false,2024-03-15T12:00:00Z,Korrelgroottefractie,Aquo
Behaviour,Edm.String,Behaviour,Parameter,false,2024-03-15T12:00:00Z,Gedrag,Aquo
Capacity,Edm.String,Capacity,Parameter,false,2024-03-15T12:00:00Z,Hoedanigheid,Aquo
