"ReferenceType";"Betekenis";"Bron";"Plaats";"Context";"Optioneel";"Toegevoegd"
"AnalysisPackage";"Combinatie van grootheden/eenheden/parameter types waarmee analyses kunnen worden uitgevoerd";"AquaDesk";"Parameter";"Biologie";"Ja";"2023-10-05"
"Appearance";"Verschijningsvorm";"Aquo";"Parameter";"Biologie";"Ja";"2023-10-05"
"Compartment";"Compartiment";"Aquo";"Parameter";"Biologie";"Nee";"2023-10-05"
"Condition";"Hoedanigheid";"Aquo";"Parameter";"Biologie";"Ja";"2023-10-05"
"Ecotope";"Ecotoop";"Aquo";"Parameter";"";"Ja";"2023-10-05"
"Gender";"Geslacht";"Aquo";"Parameter";"Biologie";"Ja";"2023-10-05"
"GrainDiameter";"Korreldiameter";"Aquo";"Parameter";"Biologie";"Ja";"2023-10-05"
"GrainSizeFraction";"Korrelgroottefractie";"Aquo";"Parameter";"Biologie";"Ja";"2023-10-05"
"Grootheid";"Geobserveerde entiteit waarover iets gezegd wordt";"Aquo";"Parameter";"";"Nee";"2023-10-05"
"Habitat";"Habitat";"Aquo";"Parameter";"Biologie";"Ja";"2023-10-05"
"Individuals";"Individuen";"Aquo";"Parameter";"Biologie";"Ja";"2023-10-05"
"KRWWaterType";"Watertype volgens KaderRichtlijn Water";"Aquo";"Parameter";"Biologie";"Ja";"2023-10-05"
"LengthClass";"Lengteklasse";"Aquo";"Parameter";"Biologie";"Ja";"2023-10-05"
"LengthClassInCm";"Lengteklasse in CM";"RWS";"Parameter";"Biologie";"Ja";"2023-10-05"
"LengthClassInMm";"Lengteklasse in MM";"RWS";"Parameter";"Biologie";"Ja";"2023-10-05"
"LifeForm";"Levensvorm";"Aquo";"Parameter";"Biologie";"Ja";"2023-10-05"
"LifeStage";"Levensstadium";"Aquo";"Parameter";"Biologie";"Ja";"2023-10-05"
"LimitSymbol";"Limiet symbool (t.b.v. grenswaarde)";"Aquo";"Parameter";"";"Ja";"2023-10-05"
"Literature";"Literatuur";"Aquo";"Parameter";"";"Ja";"2023-10-05"
"MeasurementPackage";"Combinatie van grootheden/eenheden/parameter types waarmee validaties kunnen worden uitgevoerd";"AquaDesk";"Parameter";"";"Ja";"2023-10-05"
"MeasurementPosition";"Meetpositie";"Aquo";"Parameter";"Biologie";"Ja";"2023-10-05"
"Method";"Analysemethode";"Aquo";"Parameter";"";"Ja";"2023-10-05"
"MonitoringNetwork";"Meetnet";"AquaDesk";"Parameter";"";"Ja";"2023-10-05"
"Organisation";"Organisatie";"Aquo";"Parameter";"";"Ja";"2023-10-05"
"Parameter";"Gemeten parameter";"Aquo";"Parameter";"";"Nee";"2023-10-05"
"ParameterType";"Parametertype";"AquaDesk";"Parameter";"";"Ja";"2023-10-05"
"Purpose";"(Meet)doel";"Aquo";"Parameter";"";"Ja";"2023-10-05"
"Quality";"Hoedanigheid";"Aquo";"Parameter";"";"Ja";"2023-10-05"
"QualityAssessment";"Kwaliteitsoordeel";"Aquo";"Parameter";"";"Ja";"2023-10-05"
"Sediment";"Sediment";"Aquo";"Parameter";"";"Ja";"2023-10-05"
"Statistics";"Statistiek";"Aquo";"Parameter";"";"Ja";"2023-10-05"
"StowaWaterType";"Watertype volgens STOWA";"Aquo";"Parameter";"";"Ja";"2023-10-05"
"TaxonGroup";"Groepindeling van het taxon";"TWN";"Parameter";"Biologie";"Ja";"2023-10-05"
"TaxonParent";"Bovenliggend niveau van het taxon";"TWN";"Parameter";"Biologie";"Ja";"2023-10-05"
"TaxonSynonym";"Gecorrigeerde naam van het taxon";"TWN";"Parameter";"Biologie";"Ja";"2023-10-05"
"TaxonType";"Hoofdgroep waartoe het taxon behoort";"TWN";"Parameter";"Biologie";"Ja";"2023-10-05"
"ValueProcessingMethod";"Waardebewerkingsmethode";"Aquo";"Parameter";"";"Ja";"2023-10-05"
"ValuationMethod";"Waardebeoordelingsmethode";"Aquo";"Parameter";"";"Ja";"2023-10-05"
"ValuationTechnique";"Waardebepalingstechniek";"Aquo";"Parameter";"";"Ja";"2023-10-05"
"Wavelength";"Golflengteklasse";"Aquo";"Biologie";"";"Ja";"2023-10-05"
"WidthClassInCm";"Breedteklasse in CM";"RWS";"Parameter";"Biologie";"Ja";"2023-10-05"
"WidthClassInMm";"Breedteklasse in MM";"RWS";"Parameter";"Biologie";"Ja";"2023-10-05"
"Comment";"Geobserveerde entiteit waarover iets gezegd wordt";"Aquo";"Metadata";"";"Ja";"2023-10-05"
"Project";"Project waarvoor de observatie is verricht";"AquaDesk";"Metadata";"";"Ja";"2023-10-05"
"Checker";"Gevalideerd door";"AquaDesk";"Parameter";"";"Ja";"2023-10-05"
"Sampler";"Bemonsterd door";"AquaDesk";"Parameter";"";"Ja";"2023-10-05"
"Analyst";"Geanalyseerd door";"AquaDesk";"Parameter";"";"Ja";"2023-10-05"
"CollectionReference";"Monsteraanduiding";"AquaDesk";"Parameter";"";"Ja";"2023-10-05"
"SampleComment";"Opmerking bij monster";"AquaDesk";"Parameter";"";"Ja";"2023-10-05"
"ObservationComment";"Opmerking bij meting";"AquaDesk";"Metadata";"";"Ja";"2023-10-05"
"Unit (Uom)";"Gemeten eenheid";"Aquo";"Result/Measure";"";"Nee";"2023-10-05"
"ForecastTime";"Tijd van de voorspelling";"-";"Metadata";"";"Nee";"2023-10-05"
